ticker,origin,model,horizon,mape,dir_acc,error
GOOGL,2025-05-08,gbm,5,0.05343185142730601,0.0,
GOOGL,2025-05-08,arima,5,0.052432754223433894,0.0,
GOOGL,2025-05-08,chronos,5,0.05403364832449229,0.0,
GOOGL,2025-05-08,naive,21,0.0946127304968644,0.0,
GOOGL,2025-05-08,gbm,21,0.09392776060970259,0.0,
GOOGL,2025-05-08,arima,21,0.09188349009721872,0.0,
GOOGL,2025-05-08,chronos,21,0.08841203602968666,0.0,
GOOGL,2025-07-10,naive,5,0.029839918739979633,0.0,
GOOGL,2025-07-10,gbm,5,0.029660742113959738,0.0,
GOOGL,2025-07-10,arima,5,0.02872327366354831,0.0,
GOOGL,2025-07-10,chronos,5,0.021390100335907568,1.0,
GOOGL,2025-07-10,naive,21,0.07235024596109253,0.0,
GOOGL,2025-07-10,gbm,21,0.07025047005642093,1.0,
GOOGL,2025-07-10,arima,21,0.06825405920530311,1.0,
GOOGL,2025-07-10,chronos,21,0.04375440743252774,1.0,
GOOGL,2025-09-09,naive,5,0.04277018041337084,0.0,
GOOGL,2025-09-09,gbm,5,0.04190010615479472,0.0,
GOOGL,2025-09-09,arima,5,0.0408919217237448,0.0,
GOOGL,2025-09-09,chronos,5,0.02510595156169092,0.0,
GOOGL,2025-09-09,naive,21,0.052179737887461976,0.0,
GOOGL,2025-09-09,gbm,21,0.04741352345199116,0.0,
GOOGL,2025-09-09,arima,21,0.0452706434029707,0.0,
GOOGL,2025-09-09,chronos,21,0.03518046133468792,1.0,
GOOGL,2025-11-06,naive,5,0.018523511111510408,1.0,
GOOGL,2025-11-06,gbm,5,0.018757722345419826,0.0,
GOOGL,2025-11-06,arima,5,0.01808236129580238,0.0,
GOOGL,2025-11-06,chronos,5,0.021264889451027422,1.0,
GOOGL,2025-11-06,naive,21,0.06168553712568351,0.0,
GOOGL,2025-11-06,gbm,21,0.05650665083448532,1.0,
GOOGL,2025-11-06,arima,21,0.0553352828836707,1.0,
GOOGL,2025-11-06,chronos,21,0.0732291234017979,0.0,
GOOGL,2026-01-08,naive,5,0.03303844008877562,0.0,
GOOGL,2026-01-08,gbm,5,0.031480981219147136,0.0,
GOOGL,2026-01-08,arima,5,0.030472853357614033,0.0,
GOOGL,2026-01-08,chronos,5,0.018022405206309478,1.0,
GOOGL,2026-01-08,naive,21,0.030869217227939255,1.0,
GOOGL,2026-01-08,gbm,21,0.025980460147526672,0.0,
GOOGL,2026-01-08,arima,21,0.024486463096162675,0.0,
GOOGL,2026-01-08,chronos,21,0.01619571743378459,0.0,
GOOGL,2026-03-11,naive,5,0.009335916053179242,1.0,
GOOGL,2026-03-11,gbm,5,0.009238142710240876,1.0,
GOOGL,2026-03-11,arima,5,0.009651255542237632,1.0,
GOOGL,2026-03-11,chronos,5,0.015643887062583198,0.0,
GOOGL,2026-03-11,naive,21,0.03801576006344573,0.0,
GOOGL,2026-03-11,gbm,21,0.040387541549062864,1.0,
GOOGL,2026-03-11,arima,21,0.042197023681648134,1.0,
GOOGL,2026-03-11,chronos,21,0.052296010211049744,1.0,
JPM,2025-05-08,naive,5,0.04723931462359411,0.0,
JPM,2025-05-08,gbm,5,0.04642056877070237,0.0,
JPM,2025-05-08,arima,5,0.045861884613685844,0.0,
JPM,2025-05-08,chronos,5,0.04505217916756734,0.0,
JPM,2025-05-08,naive,21,0.05392265134641035,0.0,
JPM,2025-05-08,gbm,21,0.04968909980627954,0.0,
JPM,2025-05-08,arima,21,0.04845328685681337,0.0,
JPM,2025-05-08,chronos,21,0.060363582890818425,0.0,
JPM,2025-07-10,naive,5,0.015294751497146644,0.0,
JPM,2025-07-10,gbm,5,0.014124465291124095,0.0,
JPM,2025-07-10,arima,5,0.013856052993235534,0.0,
JPM,2025-07-10,chronos,5,0.004528059425378042,0.0,
JPM,2025-07-10,naive,21,0.03080301215390523,0.0,
JPM,2025-07-10,gbm,21,0.02531294048044169,0.0,
JPM,2025-07-10,arima,21,0.02441048480690638,0.0,
JPM,2025-07-10,chronos,21,0.014191371243536302,1.0,
JPM,2025-09-09,naive,5,0.04336422183921672,0.0,
JPM,2025-09-09,gbm,5,0.04220087975167526,0.0,
JPM,2025-09-09,arima,5,0.04201775479358045,0.0,
JPM,2025-09-09,chronos,5,0.02800073360280792,1.0,
JPM,2025-09-09,naive,21,0.05697535556049517,0.0,
JPM,2025-09-09,gbm,21,0.051540896936617266,0.0,
JPM,2025-09-09,arima,21,0.050747344190954245,0.0,
JPM,2025-09-09,chronos,21,0.031616208663100324,1.0,
JPM,2025-11-06,naive,5,0.014266234367875113,1.0,
JPM,2025-11-06,gbm,5,0.01410181870849403,1.0,
JPM,2025-11-06,arima,5,0.013476716610047835,1.0,
JPM,2025-11-06,chronos,5,0.009084289797683956,0.0,
JPM,2025-11-06,naive,21,0.021209963972740716,0.0,
JPM,2025-11-06,gbm,21,0.0230532605621456,1.0,
JPM,2025-11-06,arima,21,0.02446616311785411,1.0,
JPM,2025-11-06,chronos,21,0.020867265882643468,0.0,
